person_id,name,full_name,party,caucus_short_name,province,constituency,presence_rate,present,paired,absent,total_votes,tenure_months,years_in_house,elections_won,interventions_count,committee_interventions_count,bills_sponsored_current,committees_count,associations_count,position_leadership_score,position_leadership_rank,position_leadership_percentile,position_leadership_score_percentile_in_party,activity_index_score,activity_index_rank,activity_index_percentile,activity_index_score_percentile,activity_index_score_percentile_in_party,activity_index_score_rank,associations_count_percentile,associations_count_percentile_in_party,associations_count_rank,bills_sponsored_current_percentile,bills_sponsored_current_percentile_in_party,bills_sponsored_current_rank,chamber,committee_interventions_count_percentile,committee_interventions_count_percentile_in_party,committee_interventions_count_rank,committee_per_month,committees_count_percentile,committees_count_percentile_in_party,committees_count_rank,computed_at,interventions_count_percentile,interventions_count_percentile_in_party,interventions_count_rank,interventions_per_month,metrics_version,parliament,political_alignment_score,presence_rate_percentile,presence_rate_percentile_in_party,presence_rate_rank,session,tenure_months_percentile,tenure_months_percentile_in_party,tenure_months_rank
88938,Marilyn Gladu,Marilyn Gladu,Conservative,Conservative,Ontario,Sarnia—Lambton—Bkejwanong,100.0,,,,,123,,,100,142,4,4,10,16.54,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88538,Marilène Gill,Marilène Gill,Bloc Québécois,Bloc Québécois,Quebec,Côte-Nord—Kawawachikamach—Nitassinan,100.0,,,,,123,,,112,101,3,2,17,15.39,,,,9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89179,Kelly McCauley,Kelly McCauley,Conservative,Conservative,Alberta,Edmonton West,100.0,,,,,123,,,123,455,1,4,8,17.64,,,,9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104786,Alexis Brunelle-Duceppe,Alexis Brunelle-Duceppe,Bloc Québécois,Bloc Québécois,Quebec,Lac-Saint-Jean,100.0,,,,,75,,,133,387,3,4,17,11.80,,,,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88674,John Brassard,John Brassard,Conservative,Conservative,Ontario,Barrie South—Innisfil,100.0,,,,,123,,,66,427,1,3,9,17.40,,,,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88721,Julie Dzerowicz,Julie Dzerowicz,Liberal,Liberal,Ontario,Davenport,100.0,,,,,123,,,65,438,1,3,18,17.40,,,,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35315,Claude DeBellefeuille,Claude DeBellefeuille,Bloc Québécois,Bloc Québécois,Quebec,Beauharnois—Salaberry—Soulanges—Huntingdon,100.0,,,,,138,,,143,273,5,2,18,11.44,,,,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104705,Maxime Blanchette-Joncas,Maxime Blanchette-Joncas,Bloc Québécois,Bloc Québécois,Quebec,Rimouski—La Matapédia,100.0,,,,,75,,,129,226,3,2,17,10.67,,,,9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3306,Dan Mazier,Dan Mazier,Conservative,Conservative,Manitoba,Riding Mountain,100.0,,,,,75,,,84,397,2,2,13,10.67,,,,9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Mario Beaulieu,Mario Beaulieu,Bloc Québécois,Bloc Québécois,Quebec,La Pointe-de-l'Île,100.0,,,,,123,,,92,157,2,2,18,10.67,,,,9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
